iter	RMSE
0	10.18570803
1	10.12957675
2	10.08070383
3	10.02675077
4	9.990537947
5	9.961551891
6	9.941625242
7	9.913346812
8	9.890997823
9	9.870956011
10	9.865117004
11	9.841606267
12	9.825705199
13	9.817011895
14	9.804169101
15	9.793513941
16	9.786218193
17	9.772102322
18	9.769206987
19	9.765480233
20	9.761671052
21	9.759827708
22	9.757469401
23	9.745885197
24	9.745440914
25	9.74439285
26	9.736880026
27	9.730079394
28	9.726087058
29	9.722632862
30	9.710963527
31	9.705656161
32	9.70425337
33	9.703518849
34	9.702110605
35	9.698484013
36	9.696314134
37	9.695249434
38	9.695005504
39	9.694277859
40	9.690419433
41	9.690356356
42	9.68605599
43	9.67934006
44	9.678237323
45	9.678083704
46	9.677354545
47	9.675171094
48	9.668390613
49	9.664467311
50	9.66238784
51	9.656846539
52	9.655998735
53	9.651662301
54	9.651661391
55	9.646447917
56	9.643235159
57	9.643234537
58	9.636774999
59	9.636024362
60	9.630450808
61	9.626737424
62	9.623012891
63	9.616920008
64	9.614251153
65	9.608030139
66	9.605200388
67	9.603022914
68	9.601701026
69	9.599860715
70	9.595976732
71	9.591717671
72	9.58967641
73	9.584164012
74	9.5836558
75	9.577875251
76	9.574576727
77	9.57011272
78	9.56857085
79	9.567310064
80	9.558590155
81	9.558491924
82	9.55793642
83	9.551945884
84	9.550375476
85	9.547183083
86	9.544919222
87	9.54244436
88	9.54047451
89	9.539587085
90	9.536916244
91	9.532449459
92	9.530215423
93	9.528312414
94	9.526277286
95	9.525532055
96	9.521929108
97	9.521251019
98	9.52022613
99	9.517137212
