iter	Passed	Remaining
0	190	18867
1	231	11340
2	297	9634
3	342	8228
4	391	7432
5	428	6718
6	472	6271
7	532	6119
8	637	6444
9	687	6186
10	728	5894
11	777	5700
12	826	5530
13	868	5335
14	920	5213
15	974	5115
16	1043	5092
17	1095	4988
18	1128	4809
19	1176	4704
20	1221	4596
21	1243	4409
22	1289	4317
23	1335	4228
24	1351	4053
25	1367	3891
26	1412	3818
27	1458	3749
28	1503	3680
29	1550	3618
30	1595	3550
31	1645	3497
32	1709	3469
33	1740	3377
34	1789	3323
35	1841	3274
36	1894	3225
37	1944	3173
38	1984	3104
39	2032	3049
40	2079	2992
41	2112	2917
42	2176	2884
43	2238	2849
44	2287	2796
45	2307	2708
46	2369	2671
47	2427	2629
48	2488	2590
49	2542	2542
50	2636	2533
51	2711	2502
52	2788	2472
53	2881	2454
54	2910	2381
55	2986	2346
56	3050	2301
57	3069	2222
58	3135	2178
59	3192	2128
60	3249	2077
61	3324	2037
62	3417	2007
63	3498	1967
64	3577	1926
65	3627	1868
66	3678	1812
67	3733	1756
68	3787	1701
69	3846	1648
70	3904	1594
71	3957	1539
72	4006	1481
73	4050	1423
74	4100	1366
75	4148	1309
76	4195	1253
77	4242	1196
78	4302	1143
79	4349	1087
80	4402	1032
81	4428	972
82	4479	917
83	4547	866
84	4596	811
85	4647	756
86	4694	701
87	4752	648
88	4836	597
89	4887	543
90	4939	488
91	5003	435
92	5076	382
93	5138	327
94	5195	273
95	5241	218
96	5300	163
97	5351	109
98	5403	54
99	5452	0
