appid,name,type,is_free,metacritic_score,recommendations_total,mat_supports_windows,mat_supports_mac,mat_supports_linux,mat_initial_price,mat_final_price,mat_discount_percent,mat_currency,created_at,updated_at,genre_id_csv
10,Counter-Strike,game,False,88.0,161854.0,True,True,True,999.0,999.0,0.0,USD,2025-09-07 16:27:12.218587+00:00,2025-09-29 02:01:37.107239+00:00,122
30,Day of Defeat,game,False,79.0,4308.0,True,True,True,499.0,499.0,0.0,USD,2025-09-07 16:27:12.218587+00:00,2025-09-29 02:01:37.107239+00:00,122
70,Half-Life,game,False,96.0,107092.0,True,True,True,999.0,999.0,0.0,USD,2025-09-07 16:27:12.218587+00:00,2025-09-29 02:01:37.107239+00:00,122
80,Counter-Strike: Condition Zero,game,False,65.0,20113.0,True,False,False,999.0,999.0,0.0,USD,2025-09-07 16:27:12.218587+00:00,2025-09-29 02:01:37.107239+00:00,122
130,Half-Life: Blue Shift,game,False,71.0,16808.0,True,True,True,499.0,499.0,0.0,USD,2025-09-07 16:27:12.218587+00:00,2025-09-29 02:01:37.107239+00:00,122
220,Half-Life 2,game,False,96.0,184698.0,True,True,False,999.0,999.0,0.0,USD,2025-09-07 16:27:12.218587+00:00,2025-09-29 06:04:55.062108+00:00,122
240,Counter-Strike: Source,game,False,88.0,128281.0,True,True,True,999.0,999.0,0.0,USD,2025-09-07 16:27:12.218587+00:00,2025-09-29 02:01:37.107239+00:00,122
300,Day of Defeat: Source,game,False,80.0,15436.0,True,True,False,999.0,999.0,0.0,USD,2025-09-07 16:27:12.218587+00:00,2025-09-29 02:01:37.107239+00:00,122
380,Half-Life 2: Episode One,game,False,87.0,26161.0,True,True,False,,,,,2025-09-07 16:27:12.218587+00:00,2025-09-29 02:01:37.107239+00:00,122
400,Portal,game,False,90.0,157621.0,True,True,True,999.0,999.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,122
420,Half-Life 2: Episode Two,game,False,90.0,34131.0,True,True,False,,,,,2025-09-07 16:27:12.218587+00:00,2025-09-29 02:01:37.107239+00:00,122
440,Team Fortress 2,game,True,92.0,43844.0,True,True,True,,,,,2025-09-07 16:27:12.218587+00:00,2025-09-29 06:04:16.222067+00:00,"44, 122"
500,Left 4 Dead,game,False,89.0,53761.0,True,True,False,999.0,999.0,0.0,USD,2025-09-07 16:27:12.218587+00:00,2025-09-29 06:04:55.062108+00:00,122
550,Left 4 Dead 2,game,False,89.0,753023.0,True,True,True,999.0,999.0,0.0,USD,2025-09-07 16:27:12.218587+00:00,2025-09-29 06:04:55.062108+00:00,122
570,Dota 2,game,True,90.0,14353.0,True,True,True,,,,,2025-09-07 16:27:12.218587+00:00,2025-09-29 06:02:55.901652+00:00,"5, 44, 122"
620,Portal 2,game,False,95.0,367496.0,True,True,True,999.0,999.0,0.0,USD,2025-09-07 16:27:12.218587+00:00,2025-09-29 06:04:55.062108+00:00,"113, 122"
630,Alien Swarm,game,True,77.0,299.0,True,False,False,,,,,2025-09-07 16:27:12.218587+00:00,2025-09-29 06:04:11.193241+00:00,"44, 122"
1002,Rag Doll Kung Fu,game,False,69.0,,True,False,False,99.0,99.0,0.0,USD,2025-09-07 16:27:12.218587+00:00,2025-09-29 02:01:37.107239+00:00,31
1200,Red Orchestra: Ostfront 41-45,game,False,81.0,1471.0,True,True,True,499.0,164.0,67.0,USD,2025-09-07 16:27:12.218587+00:00,2025-09-29 06:04:55.062108+00:00,122
1250,Killing Floor,game,False,72.0,39004.0,True,True,True,1999.0,1999.0,0.0,USD,2025-09-07 16:27:12.218587+00:00,2025-09-29 06:04:55.062108+00:00,122
1300,SiN Episodes: Emergence,game,False,75.0,942.0,True,True,True,999.0,999.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,122
1500,Darwinia,game,False,84.0,750.0,True,True,True,1199.0,1199.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 06:03:28.900913+00:00,"5, 31"
1510,Uplink,game,False,75.0,1713.0,True,True,True,1199.0,1199.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,"5, 31"
1520,DEFCON,game,False,84.0,3350.0,True,True,True,1199.0,1199.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,"5, 31"
1530,Multiwinia,game,False,76.0,396.0,True,True,True,1199.0,1199.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 06:04:55.062108+00:00,31
1600,Dangerous Waters,game,False,82.0,328.0,True,True,True,1499.0,1499.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,5
1610,Space Empires IV Deluxe,game,False,79.0,247.0,True,True,True,999.0,999.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,5
1630,Disciples II: Rise of the Elves ,game,False,80.0,1199.0,True,True,True,599.0,599.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,5
1640,Disciples II: Gallean's Return,game,False,84.0,1396.0,True,True,True,599.0,599.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,5
1670,Iron Warriors: T - 72 Tank Command ,game,False,56.0,259.0,True,True,True,599.0,599.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,5
1690,Space Empires V,game,False,68.0,401.0,True,True,True,1499.0,1499.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,5
1700,Arx Fatalis,game,False,77.0,2132.0,True,True,True,499.0,499.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,144
1900,Earth 2160,game,False,73.0,729.0,True,True,True,999.0,499.0,50.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,5
1930,Two Worlds Epic Edition,game,False,65.0,2516.0,True,True,True,1499.0,449.0,70.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 06:03:28.900913+00:00,144
2100,Dark Messiah of Might & Magic,game,False,72.0,8582.0,True,True,True,999.0,999.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,"122, 144"
2210,Quake 4,game,False,81.0,2777.0,True,True,True,1499.0,1499.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 06:03:28.900913+00:00,122
2310,Quake,game,False,94.0,12400.0,True,True,True,999.0,999.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,122
2400,The Ship: Murder Party,game,False,76.0,2558.0,True,True,True,999.0,999.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,"31, 122, 144"
2450,Bloody Good Time,game,False,73.0,910.0,True,True,True,499.0,499.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 06:02:36.672975+00:00,122
2500,Shadowgrounds,game,False,74.0,1192.0,True,True,True,699.0,699.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,122
2520,Gumboy - Crazy Adventures™,game,False,69.0,106.0,True,True,True,499.0,249.0,50.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,"31, 32"
2590,Alpha Prime,game,False,59.0,809.0,True,True,True,499.0,499.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 06:03:28.900913+00:00,122
